method,hospital,AF,IAVB,LAD,LBBB,NSIVCB,NSR,PAC,QAb,RBBB,SB,STach,TAb,macro_f1_check,f1_std
FedAvg,chapman_shaoxing,0.8137254901960784,0.7676767676767676,0.6595744680851063,0.5172413793103449,0.038461538461538464,0.8228571428571428,0.4225352112676056,0.32786885245901637,0.5161290322580645,0.949221394719025,0.9711538461538461,0.625,0.6192870936203779,0.2610297314237412
FedAvg,cpsc_2018,0.7807017543859649,0.7368421052631579,0.0,0.8543689320388349,0.0,0.4138728323699422,0.29213483146067415,0.0,0.24056603773584906,0.18947368421052632,0.5978260869565217,0.01092896174863388,0.3430596021808421,0.31331830869191885
FedAvg,georgia,0.6206896551724138,0.7450980392156863,0.7336956521739131,0.8041237113402062,0.09302325581395349,0.5575364667747164,0.2857142857142857,0.017857142857142856,0.25806451612903225,0.9252336448598131,0.9196787148594378,0.43671766342141866,0.533119395694335,0.29935947247790723
FedAvg,ningbo,0.0,0.6827794561933535,0.5814360770577933,0.8235294117647058,0.11965811965811966,0.7901554404145078,0.41471571906354515,0.23880597014925373,0.1322314049586777,0.9341745531019979,0.9464609800362976,0.6302959953569356,0.5245202606462657,0.3204044471254855
FedAvg,ptb-xl,0.7722772277227723,0.5668449197860963,0.5544683626875407,0.875,0.0,0.8969860548807917,0.2857142857142857,0.10869565217391304,0.0,0.3123359580052493,0.8728323699421965,0.34908136482939633,0.4661863496451868,0.324308003047552
FedProx,chapman_shaoxing,0.049315068493150684,0.5352112676056338,0.2736842105263158,0.49122807017543857,0.0,0.9593267882187938,0.0,0.0,0.18,0.9767141009055628,0.9611650485436893,0.4355716878402904,0.4051846868590729,0.3713976802435152
FedProx,cpsc_2018,0.04964539007092199,0.5853658536585366,0.0,0.693069306930693,0.0,0.45100671140939597,0.0,0.0,0.28440366972477066,0.125,0.5868263473053892,0.0,0.2312764399249756,0.26265948720137033
FedProx,georgia,0.03305785123966942,0.6274509803921569,0.09900990099009901,0.735632183908046,0.0,0.6245210727969349,0.0,0.0,0.15254237288135594,0.9191489361702128,0.8866396761133604,0.36097560975609755,0.3699148820206611,0.35098252620162257
FedProx,ningbo,0.0,0.47580645161290325,0.17843866171003717,0.639344262295082,0.0,0.9106771915247196,0.0,0.0,0.03508771929824561,0.9648842777334398,0.9121996303142329,0.3626943005181347,0.3732610412505663,0.37863005778874914
FedProx,ptb-xl,0.04487179487179487,0.5,0.12159709618874773,0.8081632653061225,0.0,0.8160491829801003,0.0,0.0,0.0,0.273542600896861,0.8148148148148148,0.24561403508771928,0.30205439917884674,0.32788414298205976
FedOpt,chapman_shaoxing,0.0,0.0,0.0,0.0,0.048654244306418216,0.3236994219653179,0.054695562435500514,0.0,0.0,0.0,0.0,0.0,0.03558743572560306,0.0889487534302562
FedOpt,cpsc_2018,0.0,0.0,0.0,0.0,0.0016652789342214821,0.2658959537572254,0.2062780269058296,0.0,0.0,0.0,0.0,0.0,0.03948660496643971,0.08876173729956673
FedOpt,georgia,0.0,0.0,0.0,0.0,0.04875148632580262,0.3515821195379206,0.14471452798191067,0.0,0.0,0.0,0.0,0.0,0.04542067782046949,0.10090116167266862
FedOpt,ningbo,0.0,0.0,0.0,0.0,0.03753727416242764,0.3659997079012706,0.07236388697450034,0.0,0.0,0.0,0.0,0.0,0.03965840575318322,0.10071738326906367
FedOpt,ptb-xl,0.0,0.0,0.0,0.0,0.07246044485209814,0.9252013808975834,0.03918824352694192,0.0,0.0,0.0,0.0,0.0,0.08640417243971861,0.2538365053753063
